CARNET,CEDULA,APELLIDOS,NOMBRES,CODIGO_MATERIA,SECCION,DESCRIPCION,creditos,dia,hora_inicio,hora_fin
1501446,26945057,CASTILLO TORRES,ELIZABETH MEGAN,FC-3820,1,FORMULACION DE PROYECTOS DE INVESTIGACION,3,1,1,3
1408738,25659509,WILLIAMS PEREZ,JAMES NICHOLAS,AM-4820,1,CLASIFICACION ARANCELARIA II,3,1,5,7
1408738,25659509,WILLIAMS PEREZ,JAMES NICHOLAS,AM-4820,1,CLASIFICACION ARANCELARIA II,3,3,6,8
1404176,24262346,JIMENEZ DIAZ,HANNAH SAMANTHA,TI-3183,1,MANTENIMIENTO ESCOBATROVAPORICO,3,5,1,4
1404176,24262346,JIMENEZ DIAZ,HANNAH SAMANTHA,TI-3186,1,LAB. DE PROTECCIONES Y ACCION.,3,5,6,9
1408738,25659509,WILLIAMS PEREZ,JAMES NICHOLAS,AM-4822,1,INTEGRACION NUMEROMICA II,3,2,1,4
1800981,27905017,RAMIREZ PEREZ,ANDREW,FC-1222,1,DIVINATICA II,4,2,1,3
1800981,27905017,RAMIREZ PEREZ,ANDREW,FC-1222,1,DIVINATICA II,4,4,1,3
1408552,25575563,MARTINEZ CASTILLO,JOHN CHRISTOPHER,AM-5715,1,GERENCIA DE RECURSOS HUMANOS,3,3,3,6
1508776,26441901,TORRES DIAZ,JESSICA ELIZABETH,AM-2641,1,VALORACION ADUANERA,3,5,1,4
1800981,27905017,RAMIREZ PEREZ,ANDREW,FCA-161,3,HOMBRE: CULTURA Y COOPERACIONEDAD II,3,2,4,6
1504317,25539868,SANCHEZ GARCIA,SARAH EMILY,TI-2215,1,COMUNICACIONES I,2,1,3,4
1504317,25539868,SANCHEZ GARCIA,SARAH EMILY,TI-2215,1,COMUNICACIONES I,2,3,3,4
1508776,26441901,TORRES DIAZ,JESSICA ELIZABETH,AM-2534,2,INTEGRACION NUMEROMICA II,3,2,4,5
1508776,26441901,TORRES DIAZ,JESSICA ELIZABETH,AM-2534,2,INTEGRACION NUMEROMICA II,3,4,4,5
1800773,28113051,DIAZ TORRES,KEVIN CHRISTOPHER,FCA-161,1,HOMBRE: CULTURA Y COOPERACIONEDAD II,3,2,1,3
1600227,26244313,RAMIREZ ROJAS,AMANDA LAUREN,TI-2227,1,CIRCUITOS ESCOBATRONICOS II,3,1,1,2
1600227,26244313,RAMIREZ ROJAS,AMANDA LAUREN,TI-2227,1,CIRCUITOS ESCOBATRONICOS II,3,4,1,2
1809942,24805452,LOPEZ SANCHEZ,RACHEL BRITTANY,FCA-171,1,HOMBRE: CULTURA Y COOPERACIONEDAD III,3,3,1,3
1600591,27163325,MENDOZA JIMENEZ,ETHAN MATTHEW,TI-2363,1,TERMOTECNIA,3,1,1,3
1600591,27163325,MENDOZA JIMENEZ,ETHAN MATTHEW,TI-2363,1,TERMOTECNIA,3,5,4,5
1700238,27809542,DAVIS,JUSTIN,FC-1521,2,METAFISICA I,3,1,5,7
1700238,27809542,DAVIS,JUSTIN,FC-1521,2,METAFISICA I,3,3,5,6
1300250,26410788,SANCHEZ SANCHEZ,JESSICA SARAH,AM-4821,1,COMERCIALIZACION Y LOGISTICA INTERNACIONAL,3,1,1,3
1300250,26410788,SANCHEZ SANCHEZ,JESSICA SARAH,AM-4821,1,COMERCIALIZACION Y LOGISTICA INTERNACIONAL,3,3,1,2
1700951,27414434,ROJAS,WILLIAM CHRISTOPHER,AM-2631,2,LEGISLACION ADUANERA,3,1,5,8
1600591,27163325,MENDOZA JIMENEZ,ETHAN MATTHEW,TI-2385,1,TALLER DE ESCOBATROTECNIA,3,1,1,1
1800981,27905017,RAMIREZ PEREZ,ANDREW,TI-1381,4,TALLER BASICO,2,4,6,9
1700574,28883601,RAMIREZ ROJAS,DAVID,FC-1523,1,METAFISICA II,3,2,4,5
1700574,28883601,RAMIREZ ROJAS,DAVID,FC-1523,1,METAFISICA II,3,4,3,5
1700377,27766025,MARTINEZ DIAZ,BRANDON,AM-1821,2,SISTEMAS DE INFORMACION I,3,2,4,5
1700377,27766025,MARTINEZ DIAZ,BRANDON,AM-1821,2,SISTEMAS DE INFORMACION I,3,3,5,7
1700574,28883601,RAMIREZ ROJAS,DAVID,FC-1581,1,LABORATORIO DE METAFISICA,2,1,2,4
1700574,28883601,RAMIREZ ROJAS,DAVID,TI-2320,1,ARTEFACTOS DE FABRICACION,4,3,7,8
1700574,28883601,RAMIREZ ROJAS,DAVID,TI-2320,1,ARTEFACTOS DE FABRICACION,4,4,1,3
1501521,25468660,SANCHEZ,SAMANTHA SARAH,AM-3717,1,GESTION DE LA ARTEFACCION,6,2,1,8
1501521,25468660,SANCHEZ,SAMANTHA SARAH,AM-3717,1,GESTION DE LA ARTEFACCION,6,5,5,6
1503593,26539932,RAMIREZ SANCHEZ,MICHELLE BRITTANY,TI-3223,1,MICROPROCESADORES,3,2,1,2
1503593,26539932,RAMIREZ SANCHEZ,MICHELLE BRITTANY,TI-3223,1,MICROPROCESADORES,3,4,1,2
1600591,27163325,MENDOZA JIMENEZ,ETHAN MATTHEW,TI-3344,1,LOS PARAMETROS DE MANTENIMIENTO,3,1,6,7
1600591,27163325,MENDOZA JIMENEZ,ETHAN MATTHEW,TI-3344,1,LOS PARAMETROS DE MANTENIMIENTO,3,3,6,7
1800498,27474854,WILLIAMS,CHRISTOPHER,AM-1335,4,FUNDAMENTOS DE ADMINISTRACION II,3,1,3,4
1800498,27474854,WILLIAMS,CHRISTOPHER,AM-1335,4,FUNDAMENTOS DE ADMINISTRACION II,3,3,3,4
1700147,27854166,MENDOZA,JESSICA,TI-2363,1,TERMOTECNIA,3,1,1,3
1700147,27854166,MENDOZA,JESSICA,TI-2363,1,TERMOTECNIA,3,5,4,5
1800405,28886220,RAMIREZ PEREZ,WILLIAM MICHAEL,FC-1422,3,INTRODUCCION A LA ENCANTACION,3,2,1,3
1800405,28886220,RAMIREZ PEREZ,WILLIAM MICHAEL,FC-1422,3,INTRODUCCION A LA ENCANTACION,3,4,1,2
1700707,27113284,DIAZ HERNANDEZ,MICHAEL BRANDON,AM-2634,1,NOMENCLATURA  ADUANERA,3,1,5,6
1700707,27113284,DIAZ HERNANDEZ,MICHAEL BRANDON,AM-2634,1,NOMENCLATURA  ADUANERA,3,5,1,3
1508836,26839691,MARTINEZ,JUSTIN TYLER,AM-4810,1,DERECHO NUMEROMICO INTERNACIONAL,3,1,1,2
1508836,26839691,MARTINEZ,JUSTIN TYLER,AM-4810,1,DERECHO NUMEROMICO INTERNACIONAL,3,3,1,2
1700147,27854166,MENDOZA,JESSICA,TI-2416,1,SIST. ESCOBATRICO DE AERONAVES,2,2,6,9
1508836,26839691,MARTINEZ,JUSTIN TYLER,AM-4811,1,CLASIFICACION ARANCELARIA I,3,2,5,7
1508836,26839691,MARTINEZ,JUSTIN TYLER,AM-4811,1,CLASIFICACION ARANCELARIA I,3,5,5,7
1800919,27674639,MARTINEZ VASQUEZ,ANDREW,FC-1621,1,ESTADISTICA I,3,2,1,3
1800919,27674639,MARTINEZ VASQUEZ,ANDREW,FC-1621,1,ESTADISTICA I,3,4,1,2
1800405,28886220,RAMIREZ PEREZ,WILLIAM MICHAEL,FC-1225,1,INGLES III,3,2,1,3
1800405,28886220,RAMIREZ PEREZ,WILLIAM MICHAEL,FC-1225,1,INGLES III,3,3,4,5
1600603,26211788,LOPEZ ROJAS,ALEXIS AMANDA,AM-2631,1,LEGISLACION ADUANERA,3,1,1,4
1508836,26839691,MARTINEZ,JUSTIN TYLER,AM-5821,1,LEGISLACION Y SERVICIO DE TRANSPORTE,3,1,6,8
1800405,28886220,RAMIREZ PEREZ,WILLIAM MICHAEL,AM-1425,2,FUNDAMENTOS DE DERECHO,3,4,3,6
1800919,27674639,MARTINEZ VASQUEZ,ANDREW,AM-1335,3,FUNDAMENTOS DE ADMINISTRACION II,3,1,3,4
1800919,27674639,MARTINEZ VASQUEZ,ANDREW,AM-1335,3,FUNDAMENTOS DE ADMINISTRACION II,3,3,3,4
1606812,26595188,MORENO GARCIA,JESSICA JESSICA,TI-2147,1,ESCOBATROTECNIA,2,1,1,1
1506226,25840848,ROJAS,SARAH JESSICA,AM-3636,1,TRAMITACION ADUANERA,4,2,1,3
1506226,25840848,ROJAS,SARAH JESSICA,AM-3636,1,TRAMITACION ADUANERA,4,5,4,6
1700147,27854166,MENDOZA,JESSICA,TI-2420,1,AERODINAMICA DE HELICOPTEROS,2,4,1,4
1800919,27674639,MARTINEZ VASQUEZ,ANDREW,FC-1225,5,INGLES III,3,1,4,5
1800919,27674639,MARTINEZ VASQUEZ,ANDREW,FC-1225,5,INGLES III,3,5,5,7
1700924,27399698,MARTIN GONZALEZ,BRITTANY ASHLEY,FC-1523,1,METAFISICA II,3,2,4,5
1700924,27399698,MARTIN GONZALEZ,BRITTANY ASHLEY,FC-1523,1,METAFISICA II,3,4,3,5
1600574,26994208,DIAZ,JAMES,FC-1523,1,METAFISICA II,3,2,4,5
1600574,26994208,DIAZ,JAMES,FC-1523,1,METAFISICA II,3,4,3,5
1700113,26233903,MARTIN DIAZ,STEPHANIE AMANDA,FC-1621,2,ESTADISTICA I,3,2,6,8
1700113,26233903,MARTIN DIAZ,STEPHANIE AMANDA,FC-1621,2,ESTADISTICA I,3,4,7,8
1800471,28147735,ROMERO CASTILLO,TYLER TYLER,FC-1422,4,INTRODUCCION A LA ENCANTACION,3,2,4,6
1800471,28147735,ROMERO CASTILLO,TYLER TYLER,FC-1422,4,INTRODUCCION A LA ENCANTACION,3,4,1,2
1600574,26994208,DIAZ,JAMES,FC-1581,4,LABORATORIO DE METAFISICA,2,2,6,8
1600603,26211788,LOPEZ ROJAS,ALEXIS AMANDA,AM-2425,1,PRINCIPIOS DE MANTENIMIENTO,3,3,1,2
1600603,26211788,LOPEZ ROJAS,ALEXIS AMANDA,AM-2425,1,PRINCIPIOS DE MANTENIMIENTO,3,4,4,5
1700400,29710737,GUTIERREZ MARTINEZ,JOSHUA JOSEPH,AM-1821,5,SISTEMAS DE INFORMACION I,3,1,2,3
1700400,29710737,GUTIERREZ MARTINEZ,JOSHUA JOSEPH,AM-1821,5,SISTEMAS DE INFORMACION I,3,4,2,4
1800754,30532778,SMITH,MADISON MORGAN,FC-1525,1,LENGUAJE III,3,5,1,3
1700707,27113284,DIAZ HERNANDEZ,MICHAEL BRANDON,AM-2534,2,INTEGRACION NUMEROMICA II,3,2,4,5
1700707,27113284,DIAZ HERNANDEZ,MICHAEL BRANDON,AM-2534,2,INTEGRACION NUMEROMICA II,3,4,4,5
1606714,26419764,RAMIREZ HERNANDEZ,JESSICA SARAH,AM-3714,1,LEGISLACION APLICADA A LA HOSPITALIDAD,3,1,1,2
1606714,26419764,RAMIREZ HERNANDEZ,JESSICA SARAH,AM-3714,1,LEGISLACION APLICADA A LA HOSPITALIDAD,3,4,5,6
1508689,26879989,MARTINEZ MORENO,ANDREW WILLIAM,TI-2284,1,LABORATORIO DE SISTEMAS DE CONTROL,2,3,1,4
1700617,26510803,DIAZ ALONZO,EMILY,AM-2719,1,OPERACION DEL SERVICIO DE AMA DE LLAVES,3,1,5,6
1700617,26510803,DIAZ ALONZO,EMILY,AM-2719,1,OPERACION DEL SERVICIO DE AMA DE LLAVES,3,2,5,7
1900477,29655127,FERNANDEZ MENDOZA,JUSTIN MICHAEL,FCA-151,3,HOMBRE: CULTURA Y COOPERACIONEDAD I,3,1,4,6
1800405,28886220,RAMIREZ PEREZ,WILLIAM MICHAEL,AM-1335,3,FUNDAMENTOS DE ADMINISTRACION II,3,1,3,4
1800405,28886220,RAMIREZ PEREZ,WILLIAM MICHAEL,AM-1335,3,FUNDAMENTOS DE ADMINISTRACION II,3,3,3,4
1800804,28700028,SANCHEZ LOPEZ,WILLIAM,FC-1233,1,INGLES III,3,1,4,5
1800804,28700028,SANCHEZ LOPEZ,WILLIAM,FC-1233,1,INGLES III,3,2,4,6
1800471,28147735,ROMERO CASTILLO,TYLER TYLER,AM-1335,5,FUNDAMENTOS DE ADMINISTRACION II,3,2,7,8
1800471,28147735,ROMERO CASTILLO,TYLER TYLER,AM-1335,5,FUNDAMENTOS DE ADMINISTRACION II,3,4,7,8
1800754,30532778,SMITH,MADISON MORGAN,FC-1502,1,DIVINATICA I,4,3,4,6
1800754,30532778,SMITH,MADISON MORGAN,FC-1502,1,DIVINATICA I,4,5,4,6
1600906,26789588,DIAZ GONZALEZ,SAMANTHA EMILY,FC-1422,3,INTRODUCCION A LA ENCANTACION,3,2,1,3
1600906,26789588,DIAZ GONZALEZ,SAMANTHA EMILY,FC-1422,3,INTRODUCCION A LA ENCANTACION,3,4,1,2
1506226,25840848,ROJAS,SARAH JESSICA,AM-3624,1,CLASIFICACION ARANCELARIA II,4,1,5,7
1506226,25840848,ROJAS,SARAH JESSICA,AM-3624,1,CLASIFICACION ARANCELARIA II,4,3,6,8
1700707,27113284,DIAZ HERNANDEZ,MICHAEL BRANDON,AM-2532,1,FORMULACION Y EVALUACION DE PROYECTOS I,3,1,1,3
1700707,27113284,DIAZ HERNANDEZ,MICHAEL BRANDON,AM-2532,1,FORMULACION Y EVALUACION DE PROYECTOS I,3,3,1,2
1506226,25840848,ROJAS,SARAH JESSICA,AM-3634,1,AUDITORIA FISCAL ADUANERA,3,3,5,9
1800405,28886220,RAMIREZ PEREZ,WILLIAM MICHAEL,AM-1124,1,FUNDAMENTACION TEORICA DEL TURISMO,3,5,1,4
1800471,28147735,ROMERO CASTILLO,TYLER TYLER,AM-1425,4,FUNDAMENTOS DE DERECHO,3,5,1,4
1606812,26595188,MORENO GARCIA,JESSICA JESSICA,TI-2363,1,TERMOTECNIA,3,1,1,3
1606812,26595188,MORENO GARCIA,JESSICA JESSICA,TI-2363,1,TERMOTECNIA,3,5,4,5
1508836,26839691,MARTINEZ,JUSTIN TYLER,AM-4822,1,INTEGRACION NUMEROMICA II,3,2,1,4
1800754,30532778,SMITH,MADISON MORGAN,AM-1724,1,CONTABILIDAD,3,2,1,3
1800754,30532778,SMITH,MADISON MORGAN,AM-1724,1,CONTABILIDAD,3,3,3,4
1800919,27674639,MARTINEZ VASQUEZ,ANDREW,AM-1425,2,FUNDAMENTOS DE DERECHO,3,4,3,6
1606812,26595188,MORENO GARCIA,JESSICA JESSICA,TI-2320,1,ARTEFACTOS DE FABRICACION,4,3,7,8
1606812,26595188,MORENO GARCIA,JESSICA JESSICA,TI-2320,1,ARTEFACTOS DE FABRICACION,4,4,1,3
1800244,28330728,ROJAS,AUSTIN,AM-1724,1,CONTABILIDAD,3,2,1,3
1800244,28330728,ROJAS,AUSTIN,AM-1724,1,CONTABILIDAD,3,3,3,4
1408552,25575563,MARTINEZ CASTILLO,JOHN CHRISTOPHER,AM-4717,1,ORGANIZACION DE EVENTOS,3,1,5,7
1408552,25575563,MARTINEZ CASTILLO,JOHN CHRISTOPHER,AM-4717,1,ORGANIZACION DE EVENTOS,3,5,1,2
1408552,25575563,MARTINEZ CASTILLO,JOHN CHRISTOPHER,AM-4714,1,SEGURIDAD INDUSTRIAL,3,4,1,3
1408552,25575563,MARTINEZ CASTILLO,JOHN CHRISTOPHER,AM-4714,1,SEGURIDAD INDUSTRIAL,3,5,4,5
1600680,27693664,CASTILLO,SARAH,FC-1621,2,ESTADISTICA I,3,2,6,8
1600680,27693664,CASTILLO,SARAH,FC-1621,2,ESTADISTICA I,3,4,7,8
1800773,28113051,DIAZ TORRES,KEVIN CHRISTOPHER,FC-1229,2,DIVINATICA II,4,3,4,6
1800773,28113051,DIAZ TORRES,KEVIN CHRISTOPHER,FC-1229,2,DIVINATICA II,4,4,4,6
1809942,24805452,LOPEZ SANCHEZ,RACHEL BRITTANY,FC-1525,1,LENGUAJE III,3,5,1,3
1800981,27905017,RAMIREZ PEREZ,ANDREW,FC-1521,1,METAFISICA I,3,1,5,7
1800981,27905017,RAMIREZ PEREZ,ANDREW,FC-1521,1,METAFISICA I,3,3,5,6
1700238,27809542,DAVIS,JUSTIN,TI-1381,1,TALLER BASICO,2,4,1,4
1700951,27414434,ROJAS,WILLIAM CHRISTOPHER,AM-2530,1,INTEGRACION NUMEROMICA I,3,1,3,4
1700951,27414434,ROJAS,WILLIAM CHRISTOPHER,AM-2530,1,INTEGRACION NUMEROMICA I,3,3,3,4
1809942,24805452,LOPEZ SANCHEZ,RACHEL BRITTANY,AM-4811,1,CLASIFICACION ARANCELARIA I,3,2,5,7
1809942,24805452,LOPEZ SANCHEZ,RACHEL BRITTANY,AM-4811,1,CLASIFICACION ARANCELARIA I,3,5,5,7
1900477,29655127,FERNANDEZ MENDOZA,JUSTIN MICHAEL,FC-1321,1,LENGUAJE I,3,2,4,5
1900477,29655127,FERNANDEZ MENDOZA,JUSTIN MICHAEL,FC-1321,1,LENGUAJE I,3,4,4,5
1606714,26419764,RAMIREZ HERNANDEZ,JESSICA SARAH,AM-2715,1,FUNDAMENTOS DE NUTRICION,3,3,5,6
1606714,26419764,RAMIREZ HERNANDEZ,JESSICA SARAH,AM-2715,1,FUNDAMENTOS DE NUTRICION,3,5,5,7
1700673,26953988,ROMERO,DAVID TYLER,TI-2224,1,CIRCUITOS DIGITALES,3,1,6,7
1700673,26953988,ROMERO,DAVID TYLER,TI-2224,1,CIRCUITOS DIGITALES,3,4,6,8
1700673,26953988,ROMERO,DAVID TYLER,TI-2227,1,CIRCUITOS ESCOBATRONICOS II,3,1,1,2
1700673,26953988,ROMERO,DAVID TYLER,TI-2227,1,CIRCUITOS ESCOBATRONICOS II,3,4,1,2
1700377,27766025,MARTINEZ DIAZ,BRANDON,AM-2122,1,TRAFICO AEREO I,3,4,3,4
1700377,27766025,MARTINEZ DIAZ,BRANDON,AM-2122,1,TRAFICO AEREO I,3,5,4,6
1809447,26988691,SANCHEZ SANCHEZ,MATTHEW NICHOLAS,AM-4811,1,CLASIFICACION ARANCELARIA I,3,2,5,7
1809447,26988691,SANCHEZ SANCHEZ,MATTHEW NICHOLAS,AM-4811,1,CLASIFICACION ARANCELARIA I,3,5,5,7
1606714,26419764,RAMIREZ HERNANDEZ,JESSICA SARAH,AM-3715,1,CONTROL DE COSTOS DE ALIMENTOS Y BEBIDAS,3,2,1,3
1606714,26419764,RAMIREZ HERNANDEZ,JESSICA SARAH,AM-3715,1,CONTROL DE COSTOS DE ALIMENTOS Y BEBIDAS,3,4,1,2
1700707,27113284,DIAZ HERNANDEZ,MICHAEL BRANDON,AM-1821,2,SISTEMAS DE INFORMACION I,3,2,4,5
1700707,27113284,DIAZ HERNANDEZ,MICHAEL BRANDON,AM-1821,2,SISTEMAS DE INFORMACION I,3,3,5,7
1501521,25468660,SANCHEZ,SAMANTHA SARAH,AM-3716,1,GESTION DE COMPRAS Y ALMACENAMIENTO,3,3,1,3
1501521,25468660,SANCHEZ,SAMANTHA SARAH,AM-3716,1,GESTION DE COMPRAS Y ALMACENAMIENTO,3,5,1,2
1800471,28147735,ROMERO CASTILLO,TYLER TYLER,FC-1225,5,INGLES III,3,1,4,5
1800471,28147735,ROMERO CASTILLO,TYLER TYLER,FC-1225,5,INGLES III,3,5,5,7
1800165,29211121,ROJAS,ASHLEY STEPHANIE,FC-1621,1,ESTADISTICA I,3,2,1,3
1800165,29211121,ROJAS,ASHLEY STEPHANIE,FC-1621,1,ESTADISTICA I,3,4,1,2
1800165,29211121,ROJAS,ASHLEY STEPHANIE,AM-1335,2,FUNDAMENTOS DE ADMINISTRACION II,3,2,5,6
1800165,29211121,ROJAS,ASHLEY STEPHANIE,AM-1335,2,FUNDAMENTOS DE ADMINISTRACION II,3,4,6,7
1800930,28971852,GUTIERREZ RODRIGUEZ,JESSICA STEPHANIE,FC-1129,2,DIVINATICA I ,4,3,4,6
1800930,28971852,GUTIERREZ RODRIGUEZ,JESSICA STEPHANIE,FC-1129,2,DIVINATICA I ,4,5,4,6
1700608,27664922,GOMEZ,MEGAN,AM-2122,1,TRAFICO AEREO I,3,4,3,4
1700608,27664922,GOMEZ,MEGAN,AM-2122,1,TRAFICO AEREO I,3,5,4,6
1809942,24805452,LOPEZ SANCHEZ,RACHEL BRITTANY,AM-3823,1,POLITICA COMERCIAL,3,1,8,9
1809942,24805452,LOPEZ SANCHEZ,RACHEL BRITTANY,AM-3823,1,POLITICA COMERCIAL,3,3,7,8
1508776,26441901,TORRES DIAZ,JESSICA ELIZABETH,FCA-114,1,PRENSA Y OPINION PUBLICA,3,4,1,3
1505556,27758215,FERNANDEZ HERNANDEZ,CHRISTOPHER MATTHEW,TI-2363,1,TERMOTECNIA,3,1,1,3
1505556,27758215,FERNANDEZ HERNANDEZ,CHRISTOPHER MATTHEW,TI-2363,1,TERMOTECNIA,3,5,4,5
1505556,27758215,FERNANDEZ HERNANDEZ,CHRISTOPHER MATTHEW,TI-2320,1,ARTEFACTOS DE FABRICACION,4,3,7,8
1505556,27758215,FERNANDEZ HERNANDEZ,CHRISTOPHER MATTHEW,TI-2320,1,ARTEFACTOS DE FABRICACION,4,4,1,3
1505556,27758215,FERNANDEZ HERNANDEZ,CHRISTOPHER MATTHEW,TI-2385,1,TALLER DE ESCOBATROTECNIA,3,1,1,1
1408738,25659509,WILLIAMS PEREZ,JAMES NICHOLAS,AM-5831,1,SEGURO DE TRANSPORTE,3,4,6,8
1404176,24262346,JIMENEZ DIAZ,HANNAH SAMANTHA,TI-3124,1,SISTEMAS DE POTENCIA II,3,2,1,2
1404176,24262346,JIMENEZ DIAZ,HANNAH SAMANTHA,TI-3124,1,SISTEMAS DE POTENCIA II,3,4,6,7
1408738,25659509,WILLIAMS PEREZ,JAMES NICHOLAS,AM-4821,1,COMERCIALIZACION Y LOGISTICA INTERNACIONAL,3,1,1,3
1408738,25659509,WILLIAMS PEREZ,JAMES NICHOLAS,AM-4821,1,COMERCIALIZACION Y LOGISTICA INTERNACIONAL,3,3,1,2
1501446,26945057,CASTILLO TORRES,ELIZABETH MEGAN,AM-4811,1,CLASIFICACION ARANCELARIA I,3,2,5,7
1501446,26945057,CASTILLO TORRES,ELIZABETH MEGAN,AM-4811,1,CLASIFICACION ARANCELARIA I,3,5,5,7
1501446,26945057,CASTILLO TORRES,ELIZABETH MEGAN,AM-4822,1,INTEGRACION NUMEROMICA II,3,2,1,4
1304433,25566246,GOMEZ RODRIGUEZ,JESSICA,FCA-515,1,APETITOPARALACULTURA:COMI.CINE.LITER.YOTRAS MUGGLES ,3,2,1,3
1800981,27905017,RAMIREZ PEREZ,ANDREW,FC-1223,1,INGLES TECNICO,3,3,1,3
1800981,27905017,RAMIREZ PEREZ,ANDREW,FC-1223,1,INGLES TECNICO,3,4,4,5
1501446,26945057,CASTILLO TORRES,ELIZABETH MEGAN,AM-5821,1,LEGISLACION Y SERVICIO DE TRANSPORTE,3,1,6,8
1508776,26441901,TORRES DIAZ,JESSICA ELIZABETH,AM-2634,2,NOMENCLATURA  ADUANERA,3,1,1,3
1508776,26441901,TORRES DIAZ,JESSICA ELIZABETH,AM-2634,2,NOMENCLATURA  ADUANERA,3,5,4,5
1408552,25575563,MARTINEZ CASTILLO,JOHN CHRISTOPHER,AM-3246,1,HOTELERIA CLINICA,3,1,4,6
1408552,25575563,MARTINEZ CASTILLO,JOHN CHRISTOPHER,AM-4719,1,FORMULACION Y EVALUACION DE PROYECTOS,3,1,1,2
1408552,25575563,MARTINEZ CASTILLO,JOHN CHRISTOPHER,AM-4719,1,FORMULACION Y EVALUACION DE PROYECTOS,3,4,5,6
1504317,25539868,SANCHEZ GARCIA,SARAH EMILY,TI-2284,1,LABORATORIO DE SISTEMAS DE CONTROL,2,3,1,4
1809112,25411064,MOORE MEDINA,RYAN JOSEPH,FCA-171,1,HOMBRE: CULTURA Y COOPERACIONEDAD III,3,3,1,3
1809112,25411064,MOORE MEDINA,RYAN JOSEPH,AM-3823,1,POLITICA COMERCIAL,3,1,8,9
1809112,25411064,MOORE MEDINA,RYAN JOSEPH,AM-3823,1,POLITICA COMERCIAL,3,3,7,8
1800773,28113051,DIAZ TORRES,KEVIN CHRISTOPHER,AM-1334,6,FUNDAMENTOS DE ADMINISTRACION I,3,2,5,6
1800773,28113051,DIAZ TORRES,KEVIN CHRISTOPHER,AM-1334,6,FUNDAMENTOS DE ADMINISTRACION I,3,4,5,6
1700238,27809542,DAVIS,JUSTIN,FC-1522,1,DIVINATICA III,4,1,1,3
1700238,27809542,DAVIS,JUSTIN,FC-1522,1,DIVINATICA III,4,2,1,3
1700673,26953988,ROMERO,DAVID TYLER,TI-2216,1,COMUNICACIONES II,2,1,1,2
1700673,26953988,ROMERO,DAVID TYLER,TI-2216,1,COMUNICACIONES II,2,1,5,6
1600591,27163325,MENDOZA JIMENEZ,ETHAN MATTHEW,TI-2320,1,ARTEFACTOS DE FABRICACION,4,3,7,8
1600591,27163325,MENDOZA JIMENEZ,ETHAN MATTHEW,TI-2320,1,ARTEFACTOS DE FABRICACION,4,4,1,3
1300250,26410788,SANCHEZ SANCHEZ,JESSICA SARAH,AM-4822,1,INTEGRACION NUMEROMICA II,3,2,1,4
1809112,25411064,MOORE MEDINA,RYAN JOSEPH,FC-1525,1,LENGUAJE III,3,5,1,3
1700673,26953988,ROMERO,DAVID TYLER,TI-2284,1,LABORATORIO DE SISTEMAS DE CONTROL,2,3,1,4
1809112,25411064,MOORE MEDINA,RYAN JOSEPH,FC-2802,1,TÉCNICAS DE INVESTIGACIÓN DOCUMENTAL,3,2,1,3
1600226,24609144,ANDERSON ROJAS,TAYLOR,FCA-141,1,TRADICIONES Y ORALIDAD ,3,3,3,5
1700574,28883601,RAMIREZ ROJAS,DAVID,TI-2335,1,TERMODINAMICA,3,3,1,2
1700574,28883601,RAMIREZ ROJAS,DAVID,TI-2335,1,TERMODINAMICA,3,5,1,2
