Carnet,Nombre Completo,Medio de Transporte,Zona donde vive,Relacion,Hora a la que llega a la universidad [Lunes],Hora a la que llega a la universidad [Martes],Hora a la que llega a la universidad [Miércoles],Hora a la que llega a la universidad [Jueves],Hora a la que llega a la universidad [Viernes],Sede,Tipo de Ruta,Ruta,Tiempo en llegar a la Universidad
16-00843,Michael Castillo ,Transporte Universitario,Catia la Mar,Estudiante,8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Urbana,Catia la Mar,Entre 2 y 3 horas
18-00758,Amanda Martinez ,Transporte Universitario,Caraballeda/Caribe,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Urbana,Caraballeda/Caribe,Entre 1 y 2 horas
18-00988,Alexis Ramirez ,Transporte Universitario,Catia la Mar,Estudiante,8 a. m.,8 a. m.,8 a. m.,8 a. m.,8 a. m.,Litoral,Urbana,Catia la Mar,Entre 1 y 2 horas
18-00789,Ashley Diaz ,Transporte Universitario,La Paz,Estudiante,No uso el transporte USB,Antes de las 8 a. m.,9 a. m.,Antes de las 8 a. m.,9 a. m.,Litoral,,Ruta litoral inactiva,Entre 3 y 4 horas
15-03957,Lauren Ramirez ,Transporte Universitario,Caraballeda/Caribe,Estudiante,12 m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,No uso el transporte USB,Litoral,Urbana,Caraballeda/Caribe,Menos de 1 hora
17-09614,Samantha Rojas ,Transporte Universitario,La Paz,Estudiante,No uso el transporte USB,Antes de las 8 a. m.,9 a. m.,Antes de las 8 a. m.,9 a. m.,Litoral,,Ruta litoral inactiva,Entre 3 y 4 horas
15-08381,Ashley Diaz ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,10 a. m.,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
18-00753,Matthew Lopez ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,No uso el transporte USB,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
17-00730,Anthony Diaz ,Transporte Universitario,Gato Negro,Estudiante,8 a. m.,8 a. m.,8 a. m.,8 a. m.,8 a. m.,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
17-00491,Michael Lopez ,Transporte Universitario,La Paz,Estudiante,8 a. m.,8 a. m.,8 a. m.,8 a. m.,8 a. m.,Litoral,,Ruta litoral inactiva,Entre 2 y 3 horas
18-00549,Andrew Gomez ,Transporte Universitario,Naiguatá,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Urbana,Naiguatá,Menos de 1 hora
18-00377,Kayla Romero ,Transporte Universitario,Catia la Mar,Estudiante,9 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,No uso el transporte USB,Litoral,Urbana,Catia la Mar,Entre 2 y 3 horas
16-00989,Michael Lopez ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,No uso el transporte USB,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
18-00390,Kevin Ruiz ,Transporte Universitario,Catia la Mar,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Urbana,Catia la Mar,Entre 1 y 2 horas
16-00507,John Rojas ,Transporte Público,Naiguatá,Estudiante,,,,,,Litoral,,,Entre 1 y 2 horas
17-00846,Matthew Rojas ,Transporte Universitario,Catia la Mar,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Urbana,Catia la Mar,Entre 1 y 2 horas
18-00519,Joshua Romero ,Transporte Público,Naiguatá,Estudiante,,,,,,Litoral,,,Entre 1 y 2 horas
15-07579,Eric Johnson ,Transporte Universitario,Catia la Mar,Estudiante,8 a. m.,8 a. m.,8 a. m.,8 a. m.,8 a. m.,Litoral,Urbana,Catia la Mar,Entre 3 y 4 horas
16-06296,Amanda Ramirez ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 2 y 3 horas
17-00345,Emily Ramirez ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,No uso el transporte USB,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 2 y 3 horas
15-04670,Brittany,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,No uso el transporte USB,No uso el transporte USB,No uso el transporte USB,No uso el transporte USB,Litoral,Interurbana,Gato Negro,5 horas o más
18-00740,Sarah Vaca ,Transporte Universitario,Naiguatá,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Urbana,Naiguatá,Entre 1 y 2 horas
13-08478,Eric Ramirez ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 2 y 3 horas
15-04992,Michael Jimenez ,Transporte Universitario,La Paz,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,,Ruta litoral inactiva,5 horas o más
16-00501,Madison Lopez ,Transporte Universitario,Maiquetía,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,9 a. m.,9 a. m.,8 a. m.,Litoral,,Ruta litoral inactiva,Entre 1 y 2 horas
17-00691,Sarah Martin ,Cola,Naiguatá,Estudiante,,,,,,Litoral,,,Entre 1 y 2 horas
16-00235,Jacob Gomez ,Transporte Universitario,Catia la Mar,Estudiante,8 a. m.,8 a. m.,8 a. m.,8 a. m.,8 a. m.,Litoral,Urbana,Catia la Mar,Entre 1 y 2 horas
18-00500,Lauren Martinez ,Transporte Universitario,Gato Negro,Estudiante,8 a. m.,8 a. m.,8 a. m.,8 a. m.,8 a. m.,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
18-00316,Matthew Lopez ,Transporte Universitario,Caraballeda/Caribe,Estudiante,8 a. m.,8 a. m.,8 a. m.,8 a. m.,8 a. m.,Litoral,Urbana,Caraballeda/Caribe,Entre 1 y 2 horas
16-06763,Morgan Martinez ,Transporte Universitario,Naiguatá,Estudiante,Antes de las 8 a. m.,No uso el transporte USB,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Urbana,Naiguatá,Menos de 1 hora
14-03146,Samantha Mendoza ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,No uso el transporte USB,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
18-00565,Michael Alonzo ,Transporte Universitario,Caraballeda/Caribe,Estudiante,8 a. m.,8 a. m.,8 a. m.,8 a. m.,8 a. m.,Litoral,Urbana,Caraballeda/Caribe,Entre 1 y 2 horas
14-03584,Elizabeth Romero ,Transporte Universitario,Caraballeda/Caribe,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Urbana,Caraballeda/Caribe,Menos de 1 hora
18-00876,Andrew Rojas ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
17-00599,Sarah Diaz ,Transporte Universitario,Caraballeda/Caribe,Estudiante,8 a. m.,8 a. m.,8 a. m.,8 a. m.,8 a. m.,Litoral,Urbana,Caraballeda/Caribe,Menos de 1 hora
16-00617,Jessica Martinez ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 2 y 3 horas
14-03706,Amber Ruiz ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Menos de 1 hora
16-00388,Sarah Martinez ,Transporte Universitario,Naiguatá,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Urbana,Naiguatá,Menos de 1 hora
18-00940,Lauren Romero ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
16-00966,Anthony Sanchez ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 2 y 3 horas
17-00865,Rachel Sanchez ,Transporte Universitario,Bellas Artes,Estudiante,8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,,Ruta litoral inactiva,Entre 3 y 4 horas
12-06821,Brandon Romero ,Transporte Universitario,La Paz,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,9 a. m.,No uso el transporte USB,Litoral,,Ruta litoral inactiva,Entre 1 y 2 horas
18-00292,Taylor Medina ,Transporte Universitario,Maiquetía,Estudiante,9 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,,Ruta litoral inactiva,Entre 2 y 3 horas
18-00561,Amber Lopez ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
17-00727,Anthony Martin ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,10 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
16-00587,Daniel Fernandez ,Transporte Universitario,Naiguatá,Estudiante,No uso el transporte USB,12 m.,8 a. m.,No uso el transporte USB,Antes de las 8 a. m.,Litoral,Urbana,Naiguatá,Menos de 1 hora
18-00977,Andrew Romero ,Transporte Universitario,Maiquetía,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,,Ruta litoral inactiva,Entre 1 y 2 horas
18-00497,Michael Fernandez ,Transporte Universitario,Maiquetía,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,No uso el transporte USB,Antes de las 8 a. m.,No uso el transporte USB,Litoral,,Ruta litoral inactiva,Entre 1 y 2 horas
13-03117,Michael Daniel,Transporte Universitario,Maiquetía,Estudiante,8 a. m.,8 a. m.,8 a. m.,8 a. m.,8 a. m.,Litoral,,Ruta litoral inactiva,Entre 2 y 3 horas
14-03592,Joshua Romero ,Transporte Universitario,Naiguatá,Estudiante,No uso el transporte USB,Antes de las 8 a. m.,Antes de las 8 a. m.,10 a. m.,10 a. m.,Litoral,Urbana,Naiguatá,Menos de 1 hora
15-04227,Hannah Sanchez ,Transporte Universitario,Gato Negro,Estudiante,No uso el transporte USB,Antes de las 8 a. m.,Antes de las 8 a. m.,No uso el transporte USB,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 2 y 3 horas
16-00360,Ryan Martinez ,Transporte Universitario,Gato Negro,Estudiante,8 a. m.,8 a. m.,8 a. m.,8 a. m.,8 a. m.,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
15-08565,Sarah Rojas ,Transporte Universitario,Gato Negro,Estudiante,8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
17-00658,Daniel Romero ,Transporte Universitario,Caraballeda/Caribe,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Urbana,Caraballeda/Caribe,Menos de 1 hora
15-03166,Matthew Sanchez ,Transporte Universitario,Gato Negro,Estudiante,No uso el transporte USB,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
17-00285,Christopher Medina ,Transporte Universitario,Gato Negro,Estudiante,9 a. m.,9 a. m.,9 a. m.,9 a. m.,9 a. m.,Litoral,Interurbana,Gato Negro,Entre 2 y 3 horas
16-00889,Jacob Medina ,Cola,Naiguatá,Estudiante,,,,,,Litoral,,,Menos de 1 hora
16-00941,Robert Lopez ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,No uso el transporte USB,No uso el transporte USB,No uso el transporte USB,No uso el transporte USB,Litoral,Interurbana,Gato Negro,Entre 2 y 3 horas
15-08458,Brandon Lopez ,Transporte Universitario,Bellas Artes,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,,Ruta litoral inactiva,Entre 2 y 3 horas
14-08552,John Martinez ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 3 y 4 horas
17-00987,Megan Sanchez ,Transporte Universitario,Catia la Mar,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Urbana,Catia la Mar,Entre 1 y 2 horas
18-00925,John Torres ,Transporte Universitario,Catia la Mar,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Urbana,Catia la Mar,Entre 1 y 2 horas
16-00566,Ashley Martinez ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 2 y 3 horas
18-00638,Andrew Ramirez ,Transporte Público,Naiguatá,Estudiante,,,,,,Litoral,,,Entre 1 y 2 horas
18-00770,Sarah Ramirez ,Transporte Universitario,Maiquetía,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,No uso el transporte USB,Antes de las 8 a. m.,No uso el transporte USB,Litoral,,Ruta litoral inactiva,Entre 1 y 2 horas
17-00640,Michael Sanchez ,Transporte Universitario,Gato Negro,Estudiante,8 a. m.,8 a. m.,8 a. m.,No uso el transporte USB,8 a. m.,Litoral,Interurbana,Gato Negro,Entre 3 y 4 horas
17-00925,Jasmine Castillo ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,9 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 2 y 3 horas
16-00966,Anthony Sanchez ,Transporte Universitario,Catia la Mar,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,No uso el transporte USB,Litoral,Urbana,Catia la Mar,Entre 1 y 2 horas
15-06144,Brittany Diaz ,Transporte Universitario,Maiquetía,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,,Ruta litoral inactiva,Entre 1 y 2 horas
11-06246,Charles,Transporte Público,Naiguatá,Estudiante,,,,,,Litoral,,,Menos de 1 hora
16-00455,Ashley Diaz ,Transporte Universitario,Caraballeda/Caribe,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Urbana,Caraballeda/Caribe,Menos de 1 hora
16-00594,Ashley Rojas ,Transporte Universitario,Catia la Mar,Estudiante,8 a. m.,8 a. m.,8 a. m.,8 a. m.,8 a. m.,Litoral,Urbana,Catia la Mar,Entre 2 y 3 horas
17-00377,Brandon Martinez ,Transporte Universitario,Caraballeda/Caribe,Estudiante,9 a. m.,9 a. m.,9 a. m.,9 a. m.,9 a. m.,Litoral,Urbana,Caraballeda/Caribe,Menos de 1 hora
18-00763,Joshua Miller ,Transporte Universitario,Caraballeda/Caribe,Estudiante,Antes de las 8 a. m.,8 a. m.,9 a. m.,Antes de las 8 a. m.,8 a. m.,Litoral,Urbana,Caraballeda/Caribe,Menos de 1 hora
18-00682,Kimberly Ramirez ,Transporte Universitario,Maiquetía,Estudiante,9 a. m.,9 a. m.,9 a. m.,9 a. m.,9 a. m.,Litoral,,Ruta litoral inactiva,Entre 2 y 3 horas
17-00212,Andrew Martinez ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
15-03822,Sarah Sanchez ,Transporte Público,Naiguatá,Estudiante,,,,,,Litoral,,,Entre 2 y 3 horas
17-09947,Brittany Ruiz ,Transporte Universitario,Catia la Mar,Estudiante,9 a. m.,Antes de las 8 a. m.,8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Urbana,Catia la Mar,Entre 1 y 2 horas
18-00244,Austin Rojas ,Transporte Universitario,Maiquetía,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,,Ruta litoral inactiva,Entre 1 y 2 horas
18-00519,Joshua Romero ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,No uso el transporte USB,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
14-06674,David Mendoza ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 2 y 3 horas
17-00419,Samantha Martinez ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,11 a. m.,9 a. m.,11 a. m.,Litoral,Interurbana,Gato Negro,Entre 3 y 4 horas
17-00838,Emily Ramirez ,Transporte Universitario,Gato Negro,Estudiante,8 a. m.,No uso el transporte USB,8 a. m.,8 a. m.,No uso el transporte USB,Litoral,Interurbana,Gato Negro,Entre 3 y 4 horas
16-00140,James Sanchez ,Transporte Universitario,Gato Negro,Estudiante,8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
16-00474,Brittany Martinez ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
17-00791,James Lopez ,Transporte Universitario,Catia la Mar,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Urbana,Catia la Mar,Entre 1 y 2 horas
18-00935,Justin Torres ,Transporte Universitario,Naiguatá,Estudiante,8 a. m.,8 a. m.,8 a. m.,8 a. m.,8 a. m.,Litoral,Urbana,Naiguatá,Entre 1 y 2 horas
16-00680,Sarah Castillo ,Transporte Universitario,Gato Negro,Estudiante,No uso el transporte USB,Antes de las 8 a. m.,No uso el transporte USB,Antes de las 8 a. m.,No uso el transporte USB,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
17-00865,Rachel Sanchez ,Transporte Universitario,Gato Negro,Estudiante,8 a. m.,8 a. m.,8 a. m.,8 a. m.,No uso el transporte USB,Litoral,Interurbana,Gato Negro,Entre 2 y 3 horas
16-00587,Daniel Fernandez ,Transporte Universitario,Caraballeda/Caribe,Estudiante,No uso el transporte USB,Antes de las 8 a. m.,Antes de las 8 a. m.,8 a. m.,Antes de las 8 a. m.,Litoral,Urbana,Caraballeda/Caribe,Menos de 1 hora
18-00519,Joshua Romero ,Transporte Universitario,Gato Negro,Estudiante,No uso el transporte USB,No uso el transporte USB,No uso el transporte USB,No uso el transporte USB,No uso el transporte USB,Litoral,Interurbana,Gato Negro,Entre 2 y 3 horas
14-03146,Samantha Mendoza ,Transporte Universitario,Naiguatá,Estudiante,8 a. m.,8 a. m.,8 a. m.,8 a. m.,No uso el transporte USB,Litoral,Urbana,Naiguatá,Menos de 1 hora
17-00238,Ashley Martinez ,Transporte Universitario,Naiguatá,Estudiante,8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Urbana,Naiguatá,Menos de 1 hora
15-08618,Robert Diaz ,Transporte Universitario,Naiguatá,Estudiante,8 a. m.,8 a. m.,8 a. m.,8 a. m.,No uso el transporte USB,Litoral,Urbana,Naiguatá,Menos de 1 hora
14-00697,Taylor Sanchez ,Transporte Universitario,Catia la Mar,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,10 a. m.,9 a. m.,Antes de las 8 a. m.,Litoral,Urbana,Catia la Mar,Entre 1 y 2 horas
16-06786,Christopher Sanchez ,Transporte Universitario,Gato Negro,Estudiante,No uso el transporte USB,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,No uso el transporte USB,Litoral,Interurbana,Gato Negro,Entre 2 y 3 horas
18-00981,Andrew Ramirez ,Transporte Universitario,Catia la Mar,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Urbana,Catia la Mar,5 horas o más
16-00966,Anthony Sanchez ,Transporte Universitario,Otra,Estudiante,8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,8 a. m.,No uso el transporte USB,Litoral,,Ruta litoral inactiva,Entre 1 y 2 horas
17-00497,Kimberly Martinez ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
17-00519,Matthew Gomez ,Transporte Universitario,Maiquetía,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,No uso el transporte USB,Antes de las 8 a. m.,No uso el transporte USB,Litoral,,Ruta litoral inactiva,Entre 2 y 3 horas
17-00599,Sarah Diaz ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 2 y 3 horas
18-00405,William Ramirez ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
15-01521,Samantha Sanchez ,Transporte Universitario,Naiguatá,Estudiante,9 a. m.,Antes de las 8 a. m.,8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Urbana,Naiguatá,Menos de 1 hora
16-00359,Alexander Fernandez ,Transporte Universitario,Gato Negro,Estudiante,8 a. m.,8 a. m.,8 a. m.,8 a. m.,10 a. m.,Litoral,Interurbana,Gato Negro,Menos de 1 hora
15-04212,Alyssa Mendoza ,Transporte Universitario,Naiguatá,Estudiante,8 a. m.,8 a. m.,8 a. m.,8 a. m.,8 a. m.,Litoral,Urbana,Naiguatá,Menos de 1 hora
16-00846,Brandon Johnson ,Transporte Universitario,Caraballeda/Caribe,Estudiante,8 a. m.,8 a. m.,8 a. m.,10 a. m.,10 a. m.,Litoral,Urbana,Caraballeda/Caribe,Entre 1 y 2 horas
18-00698,Jonathan Martinez ,Transporte Universitario,Catia la Mar,Estudiante,8 a. m.,8 a. m.,8 a. m.,8 a. m.,No uso el transporte USB,Litoral,Urbana,Catia la Mar,Entre 2 y 3 horas
12-08852,Brandon Gutierrez ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,No uso el transporte USB,Litoral,Interurbana,Gato Negro,Menos de 1 hora
13-04888,Brandon Romero ,Transporte Universitario,Maiquetía,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,,Ruta litoral inactiva,Entre 2 y 3 horas
15-01446,Elizabeth Castillo ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 2 y 3 horas
18-00879,Hannah Romero ,Transporte Universitario,Catia la Mar,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Urbana,Catia la Mar,Entre 1 y 2 horas
14-08193,Michael Lopez ,Transporte Universitario,La Paz,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,11 a. m.,Antes de las 8 a. m.,Litoral,,Ruta litoral inactiva,Entre 2 y 3 horas
15-03568,Matthew Rojas ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 3 y 4 horas
18-00305,Brittany Ramirez ,Transporte Universitario,Gato Negro,Estudiante,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Antes de las 8 a. m.,Litoral,Interurbana,Gato Negro,Entre 1 y 2 horas
19-00379,Nicole Lopez ,Transporte Universitario,Catia la Mar,Estudiante,8 a. m.,8 a. m.,9 a. m.,8 a. m.,8 a. m.,Litoral,Urbana,Catia la Mar,Entre 3 y 4 horas
18-00306,Matthew Gomez ,Transporte Universitario,Gato Negro,Estudiante,8 a. m.,8 a. m.,8 a. m.,8 a. m.,8 a. m.,Litoral,Interurbana,Gato Negro,Entre 2 y 3 horas
15-05033,Brittany,Transporte Universitario,Naiguatá,Estudiante,8 a. m.,8 a. m.,8 a. m.,9 a. m.,8 a. m.,Litoral,Urbana,Naiguatá,Menos de 1 hora
